,0
0,C0001175
1,C0001206
2,C0001339
3,C0001418
4,C0001511
5,C0001824
6,C0001973
7,C0002390
8,C0002395
9,C0002726
10,C0002871
11,C0002874
12,C0002895
13,C0002986
14,C0003175
15,C0003492
16,C0003504
17,C0003507
18,C0003537
19,C0003550
20,C0003864
21,C0003873
22,C0003962
23,C0004096
24,C0004238
25,C0004610
26,C0004943
27,C0005001
28,C0005586
29,C0006107
30,C0006142
31,C0006266
32,C0006267
33,C0006271
34,C0006277
35,C0006285
36,C0006826
37,C0006840
38,C0007097
39,C0007102
40,C0007115
41,C0007121
42,C0007134
43,C0007177
44,C0007193
45,C0007194
46,C0007196
47,C0007398
48,C0007570
49,C0007642
50,C0007787
51,C0008049
52,C0008311
53,C0008325
54,C0008350
55,C0008373
56,C0008677
57,C0009319
58,C0009324
59,C0009676
60,C0010054
61,C0010068
62,C0010346
63,C0010481
64,C0010674
65,C0010692
66,C0011119
67,C0011127
68,C0011168
69,C0011175
70,C0011206
71,C0011253
72,C0011570
73,C0011633
74,C0011847
75,C0011848
76,C0011880
77,C0011881
78,C0012546
79,C0012813
80,C0013080
81,C0013405
82,C0013481
83,C0014038
84,C0014118
85,C0014121
86,C0014544
87,C0014549
88,C0014752
89,C0014854
90,C0014869
91,C0015230
92,C0016053
93,C0016470
94,C0017150
95,C0017152
96,C0017155
97,C0017160
98,C0017168
99,C0017205
100,C0017551
101,C0017601
102,C0017658
103,C0017920
104,C0018081
105,C0018099
106,C0018378
107,C0018801
108,C0018802
109,C0018817
110,C0018818
111,C0018989
112,C0018995
113,C0019069
114,C0019112
115,C0019151
116,C0019158
117,C0019163
118,C0019187
119,C0019189
120,C0019196
121,C0019202
122,C0019204
123,C0019270
124,C0019291
125,C0019937
126,C0020258
127,C0020305
128,C0020428
129,C0020433
130,C0020437
131,C0020443
132,C0020456
133,C0020461
134,C0020473
135,C0020532
136,C0020538
137,C0020542
138,C0020550
139,C0020615
140,C0020621
141,C0020649
142,C0020651
143,C0020676
144,C0021141
145,C0021167
146,C0021311
147,C0021345
148,C0021400
149,C0021670
150,C0021807
151,C0022104
152,C0022116
153,C0022346
154,C0022658
155,C0022660
156,C0022661
157,C0022972
158,C0023176
159,C0023212
160,C0023241
161,C0023267
162,C0023434
163,C0023443
164,C0023449
165,C0023467
166,C0023473
167,C0023530
168,C0023788
169,C0023890
170,C0023896
171,C0024117
172,C0024141
173,C0024225
174,C0024228
175,C0024299
176,C0024305
177,C0024473
178,C0024530
179,C0024586
180,C0024623
181,C0024713
182,C0024790
183,C0024796
184,C0024904
185,C0025202
186,C0025281
187,C0025289
188,C0026266
189,C0026267
190,C0026269
191,C0026691
192,C0026764
193,C0026769
194,C0026896
195,C0026936
196,C0027051
197,C0027059
198,C0027145
199,C0027627
200,C0027651
201,C0027708
202,C0027726
203,C0027849
204,C0027947
205,C0028734
206,C0028754
207,C0028756
208,C0029291
209,C0029408
210,C0029443
211,C0029456
212,C0029882
213,C0029925
214,C0030305
215,C0030312
216,C0030353
217,C0030436
218,C0030567
219,C0030920
220,C0031039
221,C0031046
222,C0031212
223,C0031511
224,C0032026
225,C0032227
226,C0032269
227,C0032285
228,C0032290
229,C0032305
230,C0032326
231,C0032461
232,C0032708
233,C0032827
234,C0033860
235,C0033975
236,C0034063
237,C0034065
238,C0034067
239,C0034069
240,C0034072
241,C0034155
242,C0034186
243,C0034362
244,C0034734
245,C0035012
246,C0035078
247,C0035222
248,C0035235
249,C0035305
250,C0035400
251,C0035410
252,C0035436
253,C0035579
254,C0035920
255,C0036202
256,C0036262
257,C0036285
258,C0036341
259,C0036690
260,C0036920
261,C0036974
262,C0037116
263,C0037889
264,C0038358
265,C0038454
266,C0038525
267,C0038531
268,C0038663
269,C0039070
270,C0039232
271,C0039239
272,C0039621
273,C0039685
274,C0040028
275,C0040034
276,C0040127
277,C0040425
278,C0040961
279,C0041234
280,C0041296
281,C0041333
282,C0041912
283,C0041948
284,C0041976
285,C0042029
286,C0042171
287,C0042842
288,C0042974
289,C0043019
290,C0043121
291,C0043167
292,C0085096
293,C0085278
294,C0085584
295,C0085669
296,C0085695
297,C0085740
298,C0086543
299,C0086768
300,C0087031
301,C0087086
302,C0149514
303,C0149518
304,C0149521
305,C0149801
306,C0149871
307,C0149931
308,C0151595
309,C0151945
310,C0152018
311,C0152032
312,C0153633
313,C0155502
314,C0162316
315,C0162557
316,C0162565
317,C0162566
318,C0175702
319,C0206695
320,C0206702
321,C0221036
322,C0221069
323,C0221406
324,C0221757
325,C0233472
326,C0235295
327,C0235527
328,C0235950
329,C0235974
330,C0242379
331,C0259756
332,C0264558
333,C0265144
334,C0302592
335,C0302858
336,C0338481
337,C0340164
338,C0340643
339,C0343528
340,C0376175
341,C0376358
342,C0392549
343,C0398650
344,C0400821
345,C0439857
346,C0442874
347,C0451641
348,C0451728
349,C0497327
350,C0520764
351,C0542142
352,C0546817
353,C0549346
354,C0553720
355,C0558355
356,C0566602
357,C0600139
358,C0700613
359,C0751761
360,C0752347
361,C0852437
362,C0852445
363,C0854330
364,C0857946
365,C0877430
366,C0878544
367,C0947845
368,C0948968
369,C0949570
370,C0949690
371,C1096584
372,C1144799
373,C1145670
374,C1258104
375,C1258215
376,C1268964
377,C1306557
378,C1306571
379,C1321756
380,C1384514
381,C1456784
382,C1510475
383,C1527249
384,C1527311
385,C1535939
386,C1565489
387,C1623038
388,C1704272
389,C1704436
390,C1740806
391,C1956257
392,C2239176
393,C3495801
394,C3495928
395,C3805004
396,C3805154
397,C3888977
